"LocationName","FeatureLocation","Provider","Ward","NoBays","Speed","easting","northing","Radius","IsDedicated","Status"
"Belgrave Gardens","At or Outside BELGRAVE MANSIONS","Ubitricity","Abbey Road",1,"5.5kW",526028.61,183584.64,6,"Dedicated","Installed"
"Belgrave Place","At or Outside GARDENS","ESB","Knightsbridge & Belgravia",1,"50kW",528370.7,179200.5,25,"Dedicated","Installed"
"Belgrave Road","At or Outside 72 WARWICK SQUARE","Ubitricity","Pimlico North",1,"5.5kW",529209.56,178581.16,6,"Dedicated","Installed"
"Belgrave Road","At or Outside 79 WARWICK SQUARE","Ubitricity","Pimlico North",1,"5.5kW",529171.25,178608.81,6,"Dedicated","Installed"
"Belgrave Road","Opposite 72 WARWICK SQUARE","Ubitricity","Pimlico North",1,"5.5kW",529195.55,178573.19,6,"Dedicated","Installed"
"Belgrave Square","Central Reservation Opposite Halkin St","ESB","Knightsbridge & Belgravia",1,"50kW",528279.7,179523.4,25,"Dedicated","Installed"
"Belgrave Square","Central Reserve Opposite 14","ESB","Knightsbridge & Belgravia",1,"50kW",528170.6,179405.2,25,"Dedicated","Installed"
"Belgrave Square","Opposite 37","BPL","Knightsbridge & Belgravia",5,"7-22kW",528369,179429,15,"Dedicated","Installed"
"Belgrave Square","Opposite 6","BPL","Knightsbridge & Belgravia",5,"7-22kW",528220,179476,15,"Dedicated","Installed"
"Bell Street","At or Outside 30","Ubitricity","Church Street",1,"5.5kW",527135.13,181815.89,6,"Dedicated","Installed"
"Berkeley Square","Outside 7-10 Berkeley Square","BP Pulse","West End",1,"7-22kW",528847.0509,180578.9614,15,"Dedicated","Installed"
"Berkeley Square","Outside 7-10 Berkeley Square
","Elektromotive","West End",2,"7-22kW",528847.0509,180578.9614,15,"Dedicated","Installed"
"Berners Street","Outside Orwell House 16-18 Berners Street","BP Pulse","West End",2,"7-22kW",529363.8278,181520.2032,15,"Dedicated","Installed"
"Biddulph Road","Opposite 4","Ubitricity","Maida Vale",1,"5.5kW",525858.44,182537.86,6,"Dedicated","Installed"
"Biddulph Road","Side of ASHWORTH MANSIONS","Ubitricity","Maida Vale",1,"5.5kW",525751.27,182688.62,6,"Dedicated","Installed"
"Biddulph Road","Outside 11","BPL","Maida Vale",3,"7-22kW",525710,182725,15,"Dedicated","Installed"
"Biddulph Road","Side of 10-19 Biddulph Mansion, Elgin Avenue","BP Pulse","Maida Vale",2,"7-22kW",525785.006,182643.648,15,"Dedicated","Installed"
"Blandford Street","At or Outside 55","Ubitricity","Marylebone",1,"5.5kW",528119.35,181547.25,6,"Dedicated","Installed"
"Blandford Street","At or Outside 61","Ubitricity","Marylebone",1,"5.5kW",528099.29,181530.03,6,"Dedicated","Installed"
"Blandford Street","At or Outside 71","Ubitricity","Marylebone",1,"5.5kW",528015.7,181506.7,6,"Non Dedicated","Installed"
"Blandford Street","St James church next to Aybrook Street","Ubitricity","Marylebone",1,"5.5kW",528257.71,181556.26,6,"Dedicated","Installed"
"Blenheim Road","At or Outside 25","Ubitricity","Abbey Road",1,"5.5kW",526288.48,183437.31,6,"Dedicated","Installed"
"Blenheim Road","At or Outside 8","Ubitricity","Abbey Road",1,"5.5kW",526323.62,183449.11,6,"Dedicated","Installed"
"Blomfield Road","At or Outside 16","Ubitricity","Little Venice",1,"5.5kW",526441.81,182117.28,6,"Non Dedicated","Installed"
"Blomfield Road","At or Outside 18","Ubitricity","Little Venice",1,"5.5kW",526418.35,182095.47,6,"Non Dedicated","Installed"
"Blomfield Road","At or Outside 20","Ubitricity","Little Venice",1,"5.5kW",526399.95,182078.25,6,"Non Dedicated","Installed"
"Blomfield Road","At or Outside 26","Ubitricity","Little Venice",1,"5.5kW",526315.59,182000.37,6,"Non Dedicated","Installed"
"Blomfield Road","At or Outside 26","Ubitricity","Little Venice",1,"5.5kW",526333.28,182016.45,6,"Non Dedicated","Installed"
"Blomfield Road","At or Outside 27","Ubitricity","Little Venice",1,"5.5kW",526388.97,182068.4,6,"Non Dedicated","Installed"
"Blomfield Road","At or Outside 31","Ubitricity","Little Venice",1,"5.5kW",526274.59,181962.24,6,"Non Dedicated","Installed"
"Blomfield Road","At or Outside 59","Ubitricity","Little Venice",1,"5.5kW",525951.34,181920.22,6,"Dedicated","Installed"
"Blomfield Villas","At or Outside 38","Ubitricity","Westbourne",1,"5.5kW",526027.97,181798.55,6,"Non Dedicated","Installed"
"Blomfield Villas","Opposite 24 O?S 17-31 Blomfield Villas","Ubitricity","Westbourne",1,"5.5kW",526003.13,181755.99,6,"Dedicated","Installed"
"Bradiston Road","At or Outside 18","Ubitricity","Harrow Road",1,"5.5kW",524891.93,182883.71,6,"Non Dedicated","Installed"
"Bradiston Road","At or Outside 8","Ubitricity","Harrow Road",1,"5.5kW",524873.04,182870.24,6,"Non Dedicated","Installed"
"Bradiston Road","Opposite 121A","Ubitricity","Harrow Road",1,"5.5kW",524828.6,182844.87,6,"Dedicated","Installed"
"Bradiston Road","Side of SALTRAM CRESCENT","Ubitricity","Harrow Road",1,"5.5kW",524913.42,182895.98,6,"Non Dedicated","Installed"
"Bravington Road","At or Outside 50/52","Ubitricity","Queen's Park",1,"5.5kW",524641.3,182502.44,6,"Non Dedicated","Installed"
"Bravington Road","At or Outside 66/68","Ubitricity","Queen's Park",1,"5.5kW",524644.98,182546.04,6,"Non Dedicated","Installed"
"Bravington Road","At or Outside 81/83","Ubitricity","Queen's Park",1,"5.5kW",524656.44,182571.13,6,"Dedicated","Installed"
"Bremner Road","Side of 188 QUEENS GATE","Ubitricity","Knightsbridge & Belgravia",1,"5.5kW",526471.6,179477.02,6,"Dedicated","Installed"
"Bridgeman Street","At or Outside 8","Ubitricity","Regent's Park",1,"5.5kW",527110.37,183166.74,6,"Dedicated","Installed"
"Broadley Street","At or Outside 14","Ubitricity","Church Street",1,"5.5kW",527116.48,182008.94,6,"Non Dedicated","Installed"
"Broadley Street","At or Outside Lyon House","Ubitricity","Church Street",1,"5.5kW",527167.12,182045.04,6,"Dedicated","Installed"
"Broadley Street","Opposite 123","Ubitricity","Church Street",1,"5.5kW",526981.25,181881.51,6,"Non Dedicated","Installed"
