"LocationName","FeatureLocation","Provider","Ward","NoBays","Speed","easting","northing","Radius","IsDedicated","Status"
"Porchester Terrace","40-42 Porchester Terrace","BP Pulse","Lancaster Gate",1,"7-22kW",526055.021,180945.942,15,"Dedicated","Installed"
"Porchester Terrace North","Opposite 157-159","Ubitricity","Bayswater",1,"5.5kW",525940.79,181343.85,6,"Dedicated","Installed"
"Porchester Terrace North","Outside No. 163","Ubitricity","Bayswater",1,"5.5kW",525944.63,181399.37,6,"Non Dedicated","Installed"
"Portland Place","Outside 42","Ubitricity","West End",1,"5.5kW",528807.61,181779,6,"Dedicated","Installed"
"Portland Place","Outside 74 - 80","Ubitricity","West End",1,"5.5kW",528761.12,181933.87,6,"Dedicated","Installed"
"Portland Place","Opposite 52","BPL","West End",3,"7-22kW",528796,181802,15,"Dedicated","Installed"
"Portnall Road","At or Outside 134","Ubitricity","Queen's Park",1,"5.5kW",524694.95,182763.55,6,"Non Dedicated","Installed"
"Portnall Road","At or Outside 236","Ubitricity","Queen's Park",1,"5.5kW",524608.66,183046.27,6,"Dedicated","Installed"
"Portnall Road","At or Outside 55","Ubitricity","Harrow Road",1,"5.5kW",524704.32,182410.05,6,"Dedicated","Installed"
"Portnall Road","At or Outside 85/87","Ubitricity","Harrow Road",1,"5.5kW",524711.5,182496.18,6,"Non Dedicated","Installed"
"Portnall Road","Outside 267","BPL","Queen's Park",3,"7-22kW",524615,183061,15,"Dedicated","Installed"
"Praed Street","in Rest Rank R0011 close to j/w Harbet Road","ESB","Hyde Park",1,"50kW",527066,181552.9,25,"Dedicated","Installed"
"Prince Albert Road","At or Outside ST JAMES TERRACE","Ubitricity","Regent's Park",1,"5.5kW",527625.23,183488.31,6,"Non Dedicated","Installed"
"Prince Albert Road","At or Outside VICEROY COURT","Ubitricity","Regent's Park",1,"5.5kW",527358.36,183276.26,6,"Non Dedicated","Installed"
"Prince Albert Road","At or Outside VICEROY COURT","Ubitricity","Regent's Park",1,"5.5kW",527376.27,183301.59,6,"Dedicated","Installed"
"Prince Albert Road","Opposite park, outside St James Terrace","Ubitricity","Regent's Park",1,"5.5kW",527592.2,183470.8,6,"Non Dedicated","Installed"
"Prince Albert Road","Outside park opposite North Gate","Ubitricity","Regent's Park",1,"5.5kW",527288.32,183100.15,6,"Dedicated","Installed"
"Prince Albert Road","Side of 52-61 STOCKLEIGH HALL","Ubitricity","Regent's Park",1,"5.5kW",527533.01,183437.47,6,"Dedicated","Installed"
"Prince Albert Road","Opposite 1-47 St James's Terrace, Prince Albert Road","BP Pulse","Regent's Park",2,"7-22kW",527637.1134,183478.4212,15,"Dedicated","Installed"
"Prince Consort Road","At or Outside 57","Ubitricity","Knightsbridge & Belgravia",1,"5.5kW",526700.71,179473.46,6,"Dedicated","Installed"
"Prince Consort Road","At or Outside 60","Ubitricity","Knightsbridge & Belgravia",1,"5.5kW",526647.96,179467.88,6,"Dedicated","Installed"
"Prince Consort Road","At or Outside 60","Ubitricity","Knightsbridge & Belgravia",1,"5.5kW",526671.8,179468.8,6,"Non Dedicated","Installed"
"Prince Consort Road","O/s Royal College of Science","Ubitricity","Knightsbridge & Belgravia",1,"5.5kW",526472.04,179442.82,6,"Dedicated","Installed"
"Prince Consort Road","Opposite Holy Trinity Church near Jct with Callendar Road","ESB","Knightsbridge & Belgravia",0,"50kW",526521.1,179435.2,25,"Dedicated","Pending Installation"
"Princes Gardens","At or Outside 15","Ubitricity","Knightsbridge & Belgravia",1,"5.5kW",526961.93,179482.66,6,"Dedicated","Installed"
"Princes Gardens","At or Outside COLLEGE","Ubitricity","Knightsbridge & Belgravia",1,"5.5kW",526984.2,179486.21,6,"Dedicated","Installed"
"Princes Square","At or Outside 17","Ubitricity","Bayswater",1,"5.5kW",525570.43,180885.52,6,"Non Dedicated","Installed"
"Princes Square","At or Outside 2","Ubitricity","Bayswater",1,"5.5kW",525488.49,180868.06,6,"Non Dedicated","Installed"
"Princes Square","At or Outside 33-38","Ubitricity","Bayswater",1,"5.5kW",525648.75,180928.19,6,"Non Dedicated","Installed"
"Princes Square","At or Outside 7","Ubitricity","Bayswater",1,"5.5kW",525513.22,180873.07,6,"Non Dedicated","Installed"
"Princes Square","At or Outside Bayswater Inn","Ubitricity","Bayswater",1,"5.5kW",525545.19,180880.05,6,"Non Dedicated","Installed"
"Queen Anne's Gate","At or Outside 23                                                                                                              Grade ii   Listed as per Historic Englad ref:1227330 historic England desc 12 LAMP STANDARDS NUMBERS 1 TO 12 (CONSECUTIVE), QUEEN ANNE'S GATE SW1, can only see 11 on Confirm","Ubitricity","St James's",1,"5.5kW",529649.58,179597.17,6,"Dedicated","Installed"
"Queen's Grove","Outside 33","BPL","Regent's Park",2,"7-22kW",526875,183739,15,"Dedicated","Installed"
"Queen's Terrace","At or Outside BALMORAL COURT","Ubitricity","Regent's Park",1,"5.5kW",526659.24,183427.05,6,"Dedicated","Installed"
"Queensborough Terrace","At or Outside 14-15","Ubitricity","Lancaster Gate",1,"5.5kW",525986.5,180919.04,6,"Dedicated","Installed"
"Queensborough Terrace","At or Outside 18","Ubitricity","Lancaster Gate",1,"5.5kW",525992.17,180894.26,6,"Dedicated","Installed"
"Queensborough Terrace","At or Outside 36","Ubitricity","Lancaster Gate",1,"5.5kW",526025.21,180790.22,6,"Non Dedicated","Installed"
"Queensborough Terrace","At or Outside 48","Ubitricity","Lancaster Gate",1,"5.5kW",526031.03,180765.75,6,"Non Dedicated","Installed"
"Queensborough Terrace","Side of 1 Porchester Gate","Elektromotive Car Club","Lancaster Gate",1,"7-22kW",526054.8,180646.9,15,"Dedicated","Installed"
"Rampayne Street","At or Outside 3","Ubitricity","Pimlico North",1,"5.5kW",529673.26,178390.53,6,"Non Dedicated","Installed"
"Rampayne Street","At or Outside 4","Ubitricity","Pimlico North",1,"5.5kW",529698.14,178418.02,6,"Dedicated","Installed"
"Randolph Avenue","At or Outside 134","Ubitricity","Maida Vale",1,"5.5kW",526020.28,182669.92,6,"Non Dedicated","Installed"
"Randolph Avenue","At or Outside 143","Ubitricity","Maida Vale",1,"5.5kW",525949.69,182738.57,6,"Dedicated","Installed"
"Randolph Avenue","At or Outside 188","Ubitricity","Maida Vale",1,"5.5kW",525860.6,182871.91,6,"Dedicated","Installed"
"Randolph Avenue","At or Outside 195","Ubitricity","Maida Vale",1,"5.5kW",525835.04,182885.96,6,"Non Dedicated","Installed"
"Randolph Avenue","At or Outside 204","Ubitricity","Maida Vale",1,"5.5kW",525827.95,182914.73,6,"Non Dedicated","Installed"
"Randolph Avenue","At or Outside 209","Ubitricity","Maida Vale",1,"5.5kW",525772.14,182967.83,6,"Dedicated","Installed"
"Randolph Avenue","At or Outside 21","Ubitricity","Little Venice",1,"5.5kW",526371,182227,6,"Dedicated","Installed"
"Randolph Avenue","At or Outside 213","Ubitricity","Maida Vale",1,"5.5kW",525752.81,182992.54,6,"Non Dedicated","Installed"
"Randolph Avenue","At or Outside 217","Ubitricity","Maida Vale",1,"5.5kW",525738.12,183011.61,6,"Dedicated","Installed"
"Randolph Avenue","At or Outside 22","Ubitricity","Little Venice",1,"5.5kW",526390.28,182226.99,6,"Non Dedicated","Installed"
"Randolph Avenue","At or Outside 258","Ubitricity","Maida Vale",1,"5.5kW",525727.06,183045.69,6,"Non Dedicated","Installed"
"Randolph Avenue","At or Outside 34","Ubitricity","Little Venice",1,"5.5kW",526315.99,182316.84,6,"Dedicated","Installed"
"Randolph Avenue","At or Outside 81","Ubitricity","Maida Vale",1,"5.5kW",526096.07,182558.3,6,"Non Dedicated","Installed"
"Randolph Avenue","At or Outside 88","Ubitricity","Little Venice",1,"5.5kW",526202.08,182449.48,6,"Dedicated","Installed"
"Randolph Avenue","At or Outside 99","Ubitricity","Maida Vale",1,"5.5kW",526050.13,182615.12,6,"Dedicated","Installed"
"Randolph Avenue","Opposite no. 30","Ubitricity","Little Venice",1,"5.5kW",526209.51,182422,6,"Non Dedicated","Installed"
"Randolph Crescent","At or Outside 1","Ubitricity","Little Venice",1,"5.5kW",526189.46,182211.39,6,"Dedicated","Installed"
"Randolph Crescent","At or Outside 7","Ubitricity","Little Venice",1,"5.5kW",526184.39,182235.09,6,"Dedicated","Installed"
"Randolph Crescent","At or Outside 8","Ubitricity","Little Venice",1,"5.5kW",526194.78,182256.72,6,"Dedicated","Installed"
"Randolph Crescent","Opposite 28","Ubitricity","Little Venice",1,"5.5kW",526214.22,182387.8,6,"Dedicated","Installed"
"Randolph Gardens","At or Outside 4","Ubitricity","Maida Vale",1,"5.5kW",525645.01,183151.54,6,"Non Dedicated","Installed"
"Randolph Gardens","At or Outside TORRIDON HOUSE","Ubitricity","Maida Vale",1,"5.5kW",525570.5,183242.86,6,"Non Dedicated","Installed"
"Randolph Gardens","At or Outside TORRIDON HOUSE","Ubitricity","Maida Vale",1,"5.5kW",525617.12,183185.78,6,"Non Dedicated","Installed"
"Randolph Road","At or Outside 3","Ubitricity","Little Venice",1,"5.5kW",526288.87,182093.94,6,"Dedicated","Installed"
"Randolph Road","At or Outside 6","Ubitricity","Little Venice",1,"5.5kW",526255.38,182129.32,6,"Dedicated","Installed"
"Randolph Road","At or Outside CO 8A","Ubitricity","Little Venice",1,"5.5kW",526224.25,182163.16,6,"Non Dedicated","Installed"
"Raphael Street","Behind 171 Knightsbridge","PodPoint","Knightsbridge & Belgravia",1,"7-22kW",527632.4,179639.3,15,"Dedicated","Installed"
"Regency Place","Opposite 106 Horseferry Road","ESB","Vincent Square",3,"50kW",529747.7,178964.8,25,"Dedicated","Installed"
"Regency Street","Opposite HIDE TOWER","Ubitricity","Vincent Square",1,"5.5kW",529762.77,178718.35,6,"Dedicated","Installed"
"Rochester Row","Opposite 16 Rochester Row, London SW1P 1NS","ESB","Vincent Square",1,"50kW",529523.9,179057.2,25,"Dedicated","Installed"
"Rochester Row","Outside Sainsbury’s","Ubitricity","Vincent Square",1,"5.5kW",529521.48,179069.85,6,"Dedicated","Installed"
"Rossmore Road","At or Outside 20YDS FROM SL10","Ubitricity","Church Street",1,"5.5kW",527421.05,182286,6,"Non Dedicated","Installed"
"Rossmore Road","At or Outside 20YDS FROM SL12","Ubitricity","Church Street",1,"5.5kW",527446.89,182294.54,6,"Non Dedicated","Installed"
"Rossmore Road","At or Outside 20YDS FROM SL13","Ubitricity","Regent's Park",1,"5.5kW",527482.55,182292.62,6,"Non Dedicated","Installed"
"Rossmore Road","At or Outside 50YDS FROM SL9","Ubitricity","Church Street",1,"5.5kW",527397.14,182277.88,6,"Dedicated","Installed"
"Rossmore Road","At or Outside 9A","Ubitricity","Regent's Park",1,"5.5kW",527331.6,182232.62,6,"Dedicated","Installed"
"Rossmore Road","At or Outside PALGRAVE GARDENS","Ubitricity","Regent's Park",1,"5.5kW",527529.6,182307.2,6,"Dedicated","Installed"
"Rossmore Road","Opposite TAUNTON PLACE","Ubitricity","Regent's Park",1,"5.5kW",527498.07,182310.7,6,"Non Dedicated","Installed"
"Rossmore Road","At j/w Lilestone Street","ESB","Church Street",1,"50kW",527422,182280.8,25,"Dedicated","Installed"
"Rutland Gate","At or Outside 7 LISTED HISTORIC ENGLAND 1235359 GRADE II","Ubitricity","Knightsbridge & Belgravia",1,"5.5kW",527260.35,179632.8,6,"Dedicated","Installed"
"Rutland Gate","At or Outside CO 22","Ubitricity","Knightsbridge & Belgravia",1,"5.5kW",527234.73,179583.47,6,"Dedicated","Installed"
"Rutland Gate","Opposite 3                                                                                                                         Grade ii   Listed as per Historic Englad ref: 1235365","Ubitricity","Knightsbridge & Belgravia",1,"5.5kW",527224.55,179647.9,6,"Dedicated","Installed"
"Salem Road","At or Outside 5","Ubitricity","Lancaster Gate",1,"5.5kW",525784.72,180905.74,6,"Dedicated","Installed"
"Saltram Crescent","At or Outside 74","Ubitricity","Harrow Road",1,"5.5kW",524940.71,182891.67,6,"Non Dedicated","Installed"
"Saltram Crescent","At or Outside 86/88","Ubitricity","Harrow Road",1,"5.5kW",524897.35,182923.57,6,"Dedicated","Installed"
"Saltram Crescent","At or Outside 9/11","Ubitricity","Harrow Road",1,"5.5kW",525079.31,182598.8,6,"Dedicated","Installed"
"Saltram Crescent","At or Outside 101","Ubitricity","Harrow Road",1,"5.5kW",525016.11,182844.98,6,"Non Dedicated","Installed"
"Saltram Crescent","At or Outside 112","Ubitricity","Harrow Road",1,"5.5kW",524840,182965.27,6,"Non Dedicated","Installed"
"Saltram Crescent","At or Outside 171","Ubitricity","Harrow Road",1,"5.5kW",524825.28,182983.33,6,"Dedicated","Installed"
"Saltram Crescent","At or Outside 58","Ubitricity","Harrow Road",1,"5.5kW",524986.93,182857.3,6,"Non Dedicated","Installed"
"Second Avenue","At or Outside 16/18","Ubitricity","Queen's Park",1,"5.5kW",524482.39,182474.6,6,"Dedicated","Installed"
"Second Avenue","At or Outside 55/57","Ubitricity","Queen's Park",1,"5.5kW",524479.94,182520.48,6,"Non Dedicated","Installed"
"Senior Street","At or Outside 18-32 SENIOR STREET","Ubitricity","Westbourne",1,"5.5kW",525621.52,181816.62,6,"Dedicated","Installed"
"Senior Street","At or Outside 34-80 SENIOR STREET","Ubitricity","Westbourne",1,"5.5kW",525639.82,181843.26,6,"Non Dedicated","Installed"
"Senior Street","Opposite ROWINGTON CLOSE","Ubitricity","Westbourne",1,"5.5kW",525755.26,181876.95,6,"Dedicated","Installed"
"Seymour Street","At or Outside 34","Ubitricity","Marylebone",1,"5.5kW",527859.84,181140.47,6,"Non Dedicated","Installed"
"Seymour Street","At or Outside Lanchester Court","Ubitricity","Hyde Park",1,"5.5kW",527599.15,181064.84,6,"Non Dedicated","Installed"
"Seymour Street","At or Outside POLICE STATION","Ubitricity","West End",1,"5.5kW",527965.98,181161.22,6,"Dedicated","Installed"
"Seymour Street","Near J/w Portman Square","Ubitricity","Marylebone",1,"5.5kW",527921.07,181158.25,6,"Non Dedicated","Installed"
"Seymour Street","Opposite 12","Ubitricity","West End",1,"5.5kW",527947.08,181155.61,6,"Non Dedicated","Installed"
"Seymour Street","Opposite 88","Ubitricity","Hyde Park",1,"5.5kW",527578.24,181046.99,6,"Non Dedicated","Installed"
"Seymour Street","Outside york house","Ubitricity","West End",1,"5.5kW",527746.36,181097.3,6,"Non Dedicated","Installed"
"Seymour Street","Side of 1 Connaught Square","Ubitricity","Hyde Park",1,"5.5kW",527557.33,181052.47,6,"Dedicated","Installed"
"Shannon Place","Near JCT MACKENAL STREET","Ubitricity","Regent's Park",1,"5.5kW",527308.07,183327.53,6,"Non Dedicated","Installed"
"Shirland Road","At or Outside 122","Ubitricity","Maida Vale",1,"5.5kW",525318.06,182435.4,6,"Non Dedicated","Installed"
"Shirland Road","At or Outside 137 BCD","Ubitricity","Maida Vale",1,"5.5kW",525374.24,182418.98,6,"Non Dedicated","Installed"
"Shirland Road","At or Outside 148","Ubitricity","Maida Vale",1,"5.5kW",525254.8,182469.96,6,"Non Dedicated","Installed"
"Shirland Road","At or Outside 167","Ubitricity","Maida Vale",1,"5.5kW",525303.26,182457.52,6,"Dedicated","Installed"
"Shirland Road","At or Outside 242B","Ubitricity","Harrow Road",1,"5.5kW",524926.63,182580.76,6,"Non Dedicated","Installed"
"Shirland Road","At or Outside 65","Ubitricity","Maida Vale",1,"5.5kW",525643.77,182228.39,6,"Non Dedicated","Installed"
"Shirland Road","At or Outside 81","Ubitricity","Maida Vale",1,"5.5kW",525605.41,182256.76,6,"Dedicated","Installed"
"Shirland Road","Opposite 105","Ubitricity","Harrow Road",1,"5.5kW",525541.04,182290.02,6,"Non Dedicated","Installed"
"Shirland Road","Opposite 21","Ubitricity","Westbourne",1,"5.5kW",525827.94,182076.73,6,"Non Dedicated","Installed"
"Shirland Road","Opposite 89","Ubitricity","Harrow Road",1,"5.5kW",525580.37,182260.82,6,"Non Dedicated","Installed"
"Shrewsbury Road","Side of 137 WESTBOURNE PARK ROAD","Ubitricity","Bayswater",1,"5.5kW",525142.95,181503.52,6,"Dedicated","Installed"
"Shrewsbury Road","Opposite 14","BPL","Westbourne",3,"7-22kW",525141,181495,15,"Dedicated","Installed"
"Shroton Street","At or Outside 19-20","Ubitricity","Church Street",1,"5.5kW",527250.25,181975.77,6,"Dedicated","Installed"
"Sixth Avenue","At or Outside 18","Ubitricity","Queen's Park",1,"5.5kW",524034.38,182565.51,6,"Dedicated","Installed"
"Sixth Avenue","At or Outside 3/5","Ubitricity","Queen's Park",1,"5.5kW",524021.53,182537.36,6,"Dedicated","Installed"
"Sixth Avenue","At or Outside 32/34","Ubitricity","Queen's Park",1,"5.5kW",524038.81,182599.47,6,"Non Dedicated","Installed"
"Sixth Avenue","Side of 160 Kilburn Lane","BPL","Queen's Park",3,"7-22kW",524031,182916,15,"Dedicated","Installed"
"South Street","At or Outside 37","Ubitricity","West End",1,"5.5kW",528467.09,180481.08,6,"Dedicated","Installed"
"South Street","S/O 51","Ubitricity","West End",1,"5.5kW",528506.27,180486.46,6,"Dedicated","Installed"
"South Wharf Road","Opposite WEST END QUAY","Ubitricity","Hyde Park",1,"5.5kW",526952.44,181492.39,6,"Dedicated","Installed"
"Southampton Street","outside Tower House 10 Southampton Street","BP Pulse","St James's",1,"7-22kW",530418.7258,180790.9271,15,"Dedicated","Installed"
"Spenser Street","Side of 62 Buckingham Gate","PodPoint","St James's",2,"7-22kW",529437.8,179292,15,"Dedicated","Installed"
"Springfield Road","At or Outside 46","Ubitricity","Abbey Road",1,"5.5kW",526349.83,183792.59,6,"Non Dedicated","Installed"
"Springfield Road","At or Outside 55","Ubitricity","Abbey Road",1,"5.5kW",526334.39,183773.37,6,"Non Dedicated","Installed"
"Springfield Road","At or Outside 9","Ubitricity","Abbey Road",1,"5.5kW",526134.39,183663.42,6,"Dedicated","Installed"
"Springfield Road","Opposite 27","Ubitricity","Abbey Road",1,"5.5kW",526206.08,183713.76,6,"Non Dedicated","Installed"
"Springfield Road","Outside 36","Ubitricity","Abbey Road",1,"5.5kW",526269.49,183747.03,6,"Dedicated","Installed"
"St Ann's Terrace","At or Outside 23","Ubitricity","Regent's Park",1,"5.5kW",526868.07,183335.3,6,"Dedicated","Installed"
"St George Street","O/S NO.14","Ubitricity","West End",1,"5.5kW",528931.43,180957.2,6,"Dedicated","Installed"
"St George's Drive","At or Outside 123","Ubitricity","Pimlico North",1,"5.5kW",529298.06,178258.25,6,"Dedicated","Installed"
"St George's Drive","At or Outside 30","Ubitricity","Pimlico North",1,"5.5kW",528985.38,178499.48,6,"Dedicated","Installed"
"St George's Drive","At or Outside 41","Ubitricity","Pimlico North",1,"5.5kW",528974.75,178490.18,6,"Dedicated","Installed"
"St George's Drive","At or Outside 52","Ubitricity","Pimlico North",1,"5.5kW",529173.82,178364.15,6,"Dedicated","Installed"
"St George's Drive","Opposite ST GABRIELS CHURCH","Ubitricity","Pimlico North",1,"5.5kW",529119.18,178404.88,6,"Dedicated","Installed"
"St George's Drive","Outside 23 Warwick square.","Ubitricity","Pimlico North",1,"5.5kW",529050.44,178452.99,6,"Non Dedicated","Installed"
"St George's Square","At or Outside 115","Ubitricity","Pimlico South",1,"5.5kW",529673.94,178027.18,6,"Dedicated","Installed"
"St George's Square","At or Outside 19","Ubitricity","Pimlico North",1,"5.5kW",529557.37,178331.58,6,"Non Dedicated","Installed"
"St George's Square","At or Outside 55/57","Ubitricity","Pimlico South",1,"5.5kW",529615.04,178215.13,6,"Non Dedicated","Installed"
"St George's Square","At or Outside 7","Ubitricity","Pimlico North",1,"5.5kW",529523.58,178355.71,6,"Dedicated","Installed"
"St James's Square","Opposite 18/19","ESB","St James's",2,"50kW",529456.4,180321.8,25,"Dedicated","Installed"
"St James's Square","Outside 1 St James's Square","Elektromotive Car Club","St James's",2,"7-22kW",529554.2,180389.9,15,"Dedicated","Installed"
"St James's Square","St James Square (opp junction with Charles II Street)","Elektromotive","St James's",2,"7-22kW",529552.4022,180372.6937,15,"Dedicated","Installed"
"St John's Wood High Street","Opposite 1-12 HANNOVER HOUSE","Ubitricity","Regent's Park",1,"5.5kW",527133.76,183003.65,6,"Non Dedicated","Installed"
"St John's Wood High Street","Opposite 37-48 HANNOVER HOUSE","Ubitricity","Regent's Park",1,"5.5kW",527104.04,183040.35,6,"Dedicated","Installed"
"St John's Wood High Street","Opposite GREENBERRY STREET","Ubitricity","Regent's Park",1,"5.5kW",527158.54,182970.62,6,"Non Dedicated","Installed"
"St John's Wood Park","At or Outside 8","Ubitricity","Abbey Road",1,"5.5kW",526729.66,183840,6,"Dedicated","Installed"
"St John's Wood Road","Outside Dora House, 60 St John’s Wood Road, London","BP Pulse","Regent's Park",1,"7-22kW",527040.7655,182764.5627,15,"Dedicated","Installed"
"St John's Wood Terrace","At or Outside 15","Ubitricity","Regent's Park",1,"5.5kW",526989.92,183304.22,6,"Non Dedicated","Installed"
"St John's Wood Terrace","At or Outside 36","Ubitricity","Regent's Park",1,"5.5kW",527080.04,183373.03,6,"Non Dedicated","Installed"
"St John's Wood Terrace","At or Outside 80","Ubitricity","Regent's Park",1,"5.5kW",527151.09,183441.79,6,"Dedicated","Installed"
"St Mary's Terrace","At or Outside 13","Ubitricity","Little Venice",1,"5.5kW",526567.87,181785.7,6,"Dedicated","Installed"
"St Stephen's Gardens","At or Outside 44","Ubitricity","Bayswater",1,"5.5kW",525225.49,181477.91,6,"Dedicated","Installed"
"St Stephen's Gardens","At or Outside 47","Ubitricity","Bayswater",1,"5.5kW",525199.88,181433.56,6,"Non Dedicated","Installed"
"St Stephen's Gardens","At or Outside 50","Ubitricity","Bayswater",1,"5.5kW",525207.61,181472.48,6,"Non Dedicated","Installed"
"St Stephen's Gardens","At or Outside 53","Ubitricity","Bayswater",1,"5.5kW",525182.58,181427.99,6,"Dedicated","Installed"
"St Stephen's Gardens","At or Outside 54","Ubitricity","Bayswater",1,"5.5kW",525191.16,181467.05,6,"Non Dedicated","Installed"
"St Stephen's Gardens","At or Outside 60","Ubitricity","Bayswater",1,"5.5kW",525173.42,181461.18,6,"Non Dedicated","Installed"
"Stafford Place","At or Outside 10m from Palace Street","Ubitricity","St James's",1,"5.5kW",529084.3,179424.22,6,"Dedicated","Installed"
"Stanhope Terrace","At or Outside 10","Ubitricity","Hyde Park",1,"5.5kW",526820.26,180853.84,6,"Dedicated","Installed"
"Stanhope Terrace","At or Outside 13","Ubitricity","Hyde Park",1,"5.5kW",526834.89,180867.69,6,"Dedicated","Installed"
"Star Street","At or Outside 43","Ubitricity","Hyde Park",1,"5.5kW",526960.91,181352.65,6,"Dedicated","Installed"
"Star Street","At or Outside 64","Ubitricity","Hyde Park",1,"5.5kW",527024.52,181400.53,6,"Dedicated","Installed"
"Stillington Street","Opposite 25 to 48 Queen Mary's Building","Ubitricity","Vincent Square",1,"5.5kW",529337.86,178913.43,6,"Dedicated","Installed"
"Sussex Place","Outside 2","Ubitricity","Hyde Park",1,"5.5kW",526866,181096,6,"Dedicated","Installed"
"Sussex Place","Outside No 5 Gloucester Square (on footway island)","Elektromotive Car Club","Hyde Park",2,"7-22kW",526949.7,181026.7,15,"Dedicated","Installed"
"Sussex Place","Outside Sussex Lodge, Jct with Clifton Place","BPL","Hyde Park",2,"7-22kW",526923,181039,15,"Dedicated","Installed"
"Sutherland Avenue","At or Outside 107","Ubitricity","Little Venice",1,"5.5kW",525723,182208,6,"Dedicated","Installed"
"Sutherland Avenue","At or Outside 112","Ubitricity","Little Venice",1,"5.5kW",525784.3,182274.13,6,"Non Dedicated","Installed"
"Sutherland Avenue","At or Outside 122","Ubitricity","Little Venice",1,"5.5kW",525823.44,182297.86,6,"Non Dedicated","Installed"
"Sutherland Avenue","At or Outside 127","Ubitricity","Little Venice",1,"5.5kW",525840.06,182282.05,6,"Dedicated","Installed"
"Sutherland Avenue","At or Outside 136","Ubitricity","Little Venice",1,"5.5kW",525891.83,182339.6,6,"Non Dedicated","Installed"
"Sutherland Avenue","At or Outside 144","Ubitricity","Little Venice",1,"5.5kW",525920.02,182362.23,6,"Non Dedicated","Installed"
"Sutherland Avenue","At or Outside 145","Ubitricity","Little Venice",1,"5.5kW",525904.09,182322.62,6,"Non Dedicated","Installed"
"Sutherland Avenue","At or Outside 153","Ubitricity","Little Venice",1,"5.5kW",525928.38,182342.07,6,"Non Dedicated","Installed"
"Sutherland Avenue","At or Outside 165","Ubitricity","Little Venice",1,"5.5kW",525972.49,182377.3,6,"Non Dedicated","Installed"
"Sutherland Avenue","At or Outside 166","Ubitricity","Little Venice",1,"5.5kW",525984.28,182414.68,6,"Dedicated","Installed"
"Sutherland Avenue","At or Outside 173","Ubitricity","Little Venice",1,"5.5kW",525997.84,182397.82,6,"Non Dedicated","Installed"
"Sutherland Avenue","At or Outside 180","Ubitricity","Little Venice",1,"5.5kW",526035.74,182457.12,6,"Non Dedicated","Installed"
"Sutherland Avenue","At or Outside 187","Ubitricity","Little Venice",1,"5.5kW",526033.81,182426.59,6,"Non Dedicated","Installed"
"Sutherland Avenue","At or Outside 211","Ubitricity","Little Venice",1,"5.5kW",526211.99,182576.83,6,"Non Dedicated","Installed"
"Sutherland Avenue","At or Outside 23","Ubitricity","Westbourne",1,"5.5kW",525437.47,182040.48,6,"Non Dedicated","Installed"
"Sutherland Avenue","At or Outside 30","Ubitricity","Harrow Road",1,"5.5kW",525453.91,182068.23,6,"Dedicated","Installed"
"Sutherland Avenue","At or Outside 35","Ubitricity","Westbourne",1,"5.5kW",525476,182064,6,"Non Dedicated","Installed"
"Sutherland Avenue","At or Outside 44","Ubitricity","Harrow Road",1,"5.5kW",525486.49,182088.35,6,"Non Dedicated","Installed"
"Sutherland Avenue","At or Outside 56","Ubitricity","Harrow Road",1,"5.5kW",525535.88,182118.24,6,"Dedicated","Installed"
"Sutherland Avenue","At or Outside 82","Ubitricity","Harrow Road",1,"5.5kW",525617.03,182167.32,6,"Dedicated","Installed"
"Sutherland Avenue","At or Outside 83","Ubitricity","Westbourne",1,"5.5kW",525601.99,182140.51,6,"Non Dedicated","Installed"
"Sutherland Avenue","At or Outside 98","Ubitricity","Little Venice",1,"5.5kW",525719.41,182234.59,6,"Dedicated","Installed"
"Sutherland Avenue","Central Reserve Opposite No.181","Ubitricity","Little Venice",1,"5.5kW",526018.1,182441.02,6,"Dedicated","Installed"
"Sutherland Avenue","Outside 179","Ubitricity","Little Venice",1,"5.5kW",526015.32,182413.24,6,"Non Dedicated","Installed"
"Sutherland Avenue","Opposite 192 - 194 Sutherland Avenue","Elektromotive","Little Venice",2,"7-22kW",526163.6012,182535.6468,15,"Dedicated","Installed"
"Sutherland Avenue","Opposite 192 - 194 Sutherland Avenue","Elektromotive Car Club","Harrow Road",1,"7-22kW",525409.4,182038.7,15,"Dedicated","Installed"
"Sutherland Place","At or Outside 39","Ubitricity","Bayswater",1,"5.5kW",525204.43,181200.78,6,"Dedicated","Installed"
"Sutherland Street","At or Outside 56","Ubitricity","Pimlico South",1,"5.5kW",528982.38,178155.4,6,"Non Dedicated","Installed"
"Sutherland Street","O/S 65/67","Ubitricity","Pimlico South",1,"5.5kW",528955.06,178191.42,6,"Dedicated","Installed"
"Talbot Road","At or Outside  81","Ubitricity","Bayswater",1,"5.5kW",525079.86,181319.98,6,"Non Dedicated","Installed"
"Talbot Road","At or Outside 11","Ubitricity","Bayswater",1,"5.5kW",525446.63,181433,6,"Non Dedicated","Installed"
"Talbot Road","At or Outside 40","Ubitricity","Bayswater",1,"5.5kW",525216.41,181366.67,6,"Dedicated","Installed"
"Talbot Road","At or Outside 43","Ubitricity","Bayswater",1,"5.5kW",525245.1,181364.61,6,"Non Dedicated","Installed"
"Talbot Road","Opposite No. 17","Elektromotive Car Club","Bayswater",2,"7-22kW",525406.4,181427.2,15,"Dedicated","Installed"
