ons_la_code_apr_2019,borough,quarter,count
E09000011,Greenwich,2013-04-01,17
E09000012,Hackney,2013-04-01,10
E09000013,Hammersmith and Fulham,2013-04-01,11
E09000014,Haringey,2013-04-01,25
E09000015,Harrow,2013-04-01,10
E09000016,Havering,2013-04-01,22
E09000017,Hillingdon,2013-04-01,76
E09000018,Hounslow,2013-04-01,278
E09000019,Islington,2013-04-01,32
E09000020,Kensington and Chelsea,2013-04-01,17
E09000021,Kingston upon Thames,2013-04-01,0
E09000022,Lambeth,2013-04-01,78
E09000023,Lewisham,2013-04-01,0
E09000024,Merton,2013-04-01,6
E09000025,Newham,2013-04-01,6
E09000026,Redbridge,2013-04-01,0
E09000027,Richmond upon Thames,2013-04-01,15
E09000028,Southwark,2013-04-01,81
E09000029,Sutton,2013-04-01,6
E09000030,Tower Hamlets,2013-04-01,17
E09000031,Waltham Forest,2013-04-01,24
E09000032,Wandsworth,2013-04-01,18
E09000033,Westminster,2013-04-01,101
E09000002,Barking and Dagenham,2013-07-01,10
E09000003,Barnet,2013-07-01,33
E09000004,Bexley,2013-07-01,6
E09000005,Brent,2013-07-01,15
E09000006,Bromley,2013-07-01,15
E09000007,Camden,2013-07-01,82
E09000001,City of London,2013-07-01,16
E09000008,Croydon,2013-07-01,17
E09000009,Ealing,2013-07-01,29
E09000010,Enfield,2013-07-01,21
E09000011,Greenwich,2013-07-01,16
E09000012,Hackney,2013-07-01,15
E09000013,Hammersmith and Fulham,2013-07-01,10
E09000014,Haringey,2013-07-01,28
E09000015,Harrow,2013-07-01,10
E09000016,Havering,2013-07-01,21
E09000017,Hillingdon,2013-07-01,77
E09000018,Hounslow,2013-07-01,272
E09000019,Islington,2013-07-01,31
E09000020,Kensington and Chelsea,2013-07-01,16
E09000021,Kingston upon Thames,2013-07-01,0
E09000022,Lambeth,2013-07-01,74
E09000023,Lewisham,2013-07-01,0
E09000024,Merton,2013-07-01,6
E09000025,Newham,2013-07-01,7
E09000026,Redbridge,2013-07-01,0
E09000027,Richmond upon Thames,2013-07-01,14
E09000028,Southwark,2013-07-01,84
E09000029,Sutton,2013-07-01,6
E09000030,Tower Hamlets,2013-07-01,20
E09000031,Waltham Forest,2013-07-01,25
E09000032,Wandsworth,2013-07-01,17
E09000033,Westminster,2013-07-01,94
E09000002,Barking and Dagenham,2013-10-01,9
E09000003,Barnet,2013-10-01,34
E09000004,Bexley,2013-10-01,5
E09000005,Brent,2013-10-01,18
E09000006,Bromley,2013-10-01,17
E09000007,Camden,2013-10-01,85
E09000001,City of London,2013-10-01,15
E09000008,Croydon,2013-10-01,15
E09000009,Ealing,2013-10-01,33
E09000010,Enfield,2013-10-01,22
E09000011,Greenwich,2013-10-01,15
E09000012,Hackney,2013-10-01,14
E09000013,Hammersmith and Fulham,2013-10-01,11
E09000014,Haringey,2013-10-01,26
E09000015,Harrow,2013-10-01,10
E09000016,Havering,2013-10-01,28
E09000017,Hillingdon,2013-10-01,73
E09000018,Hounslow,2013-10-01,270
E09000019,Islington,2013-10-01,29
E09000020,Kensington and Chelsea,2013-10-01,18
E09000021,Kingston upon Thames,2013-10-01,0
E09000022,Lambeth,2013-10-01,73
E09000023,Lewisham,2013-10-01,0
E09000024,Merton,2013-10-01,8
E09000025,Newham,2013-10-01,7
E09000026,Redbridge,2013-10-01,0
E09000027,Richmond upon Thames,2013-10-01,11
E09000028,Southwark,2013-10-01,89
E09000029,Sutton,2013-10-01,6
E09000030,Tower Hamlets,2013-10-01,28
E09000031,Waltham Forest,2013-10-01,24
E09000032,Wandsworth,2013-10-01,14
E09000033,Westminster,2013-10-01,98
E09000002,Barking and Dagenham,2014-01-01,9
E09000003,Barnet,2014-01-01,38
E09000004,Bexley,2014-01-01,18
E09000005,Brent,2014-01-01,17
E09000006,Bromley,2014-01-01,17
E09000007,Camden,2014-01-01,84
E09000001,City of London,2014-01-01,14
E09000008,Croydon,2014-01-01,19
E09000009,Ealing,2014-01-01,38
E09000010,Enfield,2014-01-01,20
E09000011,Greenwich,2014-01-01,16
E09000012,Hackney,2014-01-01,17
E09000013,Hammersmith and Fulham,2014-01-01,10
E09000014,Haringey,2014-01-01,26
E09000015,Harrow,2014-01-01,9
E09000016,Havering,2014-01-01,42
