ons_la_code_apr_2019,borough,quarter,count
E09000001,City of London,2016-01-01,41
E09000008,Croydon,2016-01-01,92
E09000009,Ealing,2016-01-01,153
E09000010,Enfield,2016-01-01,100
E09000011,Greenwich,2016-01-01,64
E09000012,Hackney,2016-01-01,57
E09000013,Hammersmith and Fulham,2016-01-01,85
E09000014,Haringey,2016-01-01,134
E09000015,Harrow,2016-01-01,78
E09000016,Havering,2016-01-01,133
E09000017,Hillingdon,2016-01-01,415
E09000018,Hounslow,2016-01-01,318
E09000019,Islington,2016-01-01,227
E09000020,Kensington and Chelsea,2016-01-01,181
E09000021,Kingston upon Thames,2016-01-01,52
E09000022,Lambeth,2016-01-01,130
E09000023,Lewisham,2016-01-01,38
E09000024,Merton,2016-01-01,60
E09000025,Newham,2016-01-01,35
E09000026,Redbridge,2016-01-01,91
E09000027,Richmond upon Thames,2016-01-01,90
E09000028,Southwark,2016-01-01,155
E09000029,Sutton,2016-01-01,40
E09000030,Tower Hamlets,2016-01-01,72
E09000031,Waltham Forest,2016-01-01,58
E09000032,Wandsworth,2016-01-01,112
E09000033,Westminster,2016-01-01,352
E09000002,Barking and Dagenham,2016-04-01,32
E09000003,Barnet,2016-04-01,398
E09000004,Bexley,2016-04-01,55
E09000005,Brent,2016-04-01,149
E09000006,Bromley,2016-04-01,143
E09000007,Camden,2016-04-01,330
E09000001,City of London,2016-04-01,56
E09000008,Croydon,2016-04-01,88
E09000009,Ealing,2016-04-01,152
E09000010,Enfield,2016-04-01,103
E09000011,Greenwich,2016-04-01,66
E09000012,Hackney,2016-04-01,63
E09000013,Hammersmith and Fulham,2016-04-01,99
E09000014,Haringey,2016-04-01,140
E09000015,Harrow,2016-04-01,87
E09000016,Havering,2016-04-01,129
E09000017,Hillingdon,2016-04-01,411
E09000018,Hounslow,2016-04-01,327
E09000019,Islington,2016-04-01,178
E09000020,Kensington and Chelsea,2016-04-01,192
E09000021,Kingston upon Thames,2016-04-01,59
E09000022,Lambeth,2016-04-01,137
E09000023,Lewisham,2016-04-01,47
E09000024,Merton,2016-04-01,65
E09000025,Newham,2016-04-01,39
E09000026,Redbridge,2016-04-01,87
E09000027,Richmond upon Thames,2016-04-01,92
E09000028,Southwark,2016-04-01,161
E09000029,Sutton,2016-04-01,48
E09000030,Tower Hamlets,2016-04-01,71
