ons_la_code_apr_2019,borough,quarter,count
E09000002,Barking and Dagenham,2013-10-01,8
E09000003,Barnet,2013-10-01,139
E09000004,Bexley,2013-10-01,16
E09000005,Brent,2013-10-01,56
E09000006,Bromley,2013-10-01,37
E09000007,Camden,2013-10-01,157
E09000001,City of London,2013-10-01,0
E09000008,Croydon,2013-10-01,27
E09000009,Ealing,2013-10-01,37
E09000010,Enfield,2013-10-01,28
E09000011,Greenwich,2013-10-01,12
E09000012,Hackney,2013-10-01,26
E09000013,Hammersmith and Fulham,2013-10-01,38
E09000014,Haringey,2013-10-01,48
E09000015,Harrow,2013-10-01,29
E09000016,Havering,2013-10-01,10
E09000017,Hillingdon,2013-10-01,28
E09000018,Hounslow,2013-10-01,18
E09000019,Islington,2013-10-01,45
E09000020,Kensington and Chelsea,2013-10-01,69
E09000021,Kingston upon Thames,2013-10-01,22
E09000022,Lambeth,2013-10-01,34
E09000023,Lewisham,2013-10-01,20
E09000024,Merton,2013-10-01,19
E09000025,Newham,2013-10-01,5
E09000026,Redbridge,2013-10-01,15
E09000027,Richmond upon Thames,2013-10-01,43
E09000028,Southwark,2013-10-01,35
E09000029,Sutton,2013-10-01,12
E09000030,Tower Hamlets,2013-10-01,12
E09000031,Waltham Forest,2013-10-01,9
E09000032,Wandsworth,2013-10-01,54
E09000033,Westminster,2013-10-01,144
E09000002,Barking and Dagenham,2014-01-01,8
E09000003,Barnet,2014-01-01,153
E09000004,Bexley,2014-01-01,15
E09000005,Brent,2014-01-01,58
E09000006,Bromley,2014-01-01,47
E09000007,Camden,2014-01-01,173
E09000001,City of London,2014-01-01,0
E09000008,Croydon,2014-01-01,30
E09000009,Ealing,2014-01-01,44
E09000010,Enfield,2014-01-01,27
E09000011,Greenwich,2014-01-01,14
E09000012,Hackney,2014-01-01,26
E09000013,Hammersmith and Fulham,2014-01-01,44
E09000014,Haringey,2014-01-01,54
E09000015,Harrow,2014-01-01,31
E09000016,Havering,2014-01-01,12
E09000017,Hillingdon,2014-01-01,35
E09000018,Hounslow,2014-01-01,26
E09000019,Islington,2014-01-01,46
E09000020,Kensington and Chelsea,2014-01-01,75
E09000021,Kingston upon Thames,2014-01-01,23
E09000022,Lambeth,2014-01-01,34
E09000023,Lewisham,2014-01-01,20
E09000024,Merton,2014-01-01,24
E09000025,Newham,2014-01-01,7
E09000026,Redbridge,2014-01-01,17
E09000027,Richmond upon Thames,2014-01-01,40
E09000028,Southwark,2014-01-01,40
E09000029,Sutton,2014-01-01,13
E09000030,Tower Hamlets,2014-01-01,13
E09000031,Waltham Forest,2014-01-01,13
E09000032,Wandsworth,2014-01-01,60
E09000033,Westminster,2014-01-01,148
E09000002,Barking and Dagenham,2014-04-01,8
E09000003,Barnet,2014-04-01,176
E09000004,Bexley,2014-04-01,19
E09000005,Brent,2014-04-01,63
E09000006,Bromley,2014-04-01,54
E09000007,Camden,2014-04-01,181
E09000001,City of London,2014-04-01,0
E09000008,Croydon,2014-04-01,36
E09000009,Ealing,2014-04-01,54
E09000010,Enfield,2014-04-01,34
E09000011,Greenwich,2014-04-01,17
E09000012,Hackney,2014-04-01,27
E09000013,Hammersmith and Fulham,2014-04-01,46
E09000014,Haringey,2014-04-01,62
E09000015,Harrow,2014-04-01,36
E09000016,Havering,2014-04-01,15
E09000017,Hillingdon,2014-04-01,38
E09000018,Hounslow,2014-04-01,32
E09000019,Islington,2014-04-01,46
E09000020,Kensington and Chelsea,2014-04-01,91
E09000021,Kingston upon Thames,2014-04-01,24
E09000022,Lambeth,2014-04-01,35
E09000023,Lewisham,2014-04-01,21
E09000024,Merton,2014-04-01,27
E09000025,Newham,2014-04-01,7
E09000026,Redbridge,2014-04-01,20
E09000027,Richmond upon Thames,2014-04-01,47
E09000028,Southwark,2014-04-01,41
E09000029,Sutton,2014-04-01,18
E09000030,Tower Hamlets,2014-04-01,15
E09000031,Waltham Forest,2014-04-01,15
E09000032,Wandsworth,2014-04-01,69
E09000033,Westminster,2014-04-01,156
E09000002,Barking and Dagenham,2014-07-01,12
E09000003,Barnet,2014-07-01,190
E09000004,Bexley,2014-07-01,22
E09000005,Brent,2014-07-01,74
E09000006,Bromley,2014-07-01,68
E09000007,Camden,2014-07-01,187
E09000001,City of London,2014-07-01,5
E09000008,Croydon,2014-07-01,39
E09000009,Ealing,2014-07-01,70
E09000010,Enfield,2014-07-01,38
E09000011,Greenwich,2014-07-01,22
E09000012,Hackney,2014-07-01,28
E09000013,Hammersmith and Fulham,2014-07-01,49
E09000014,Haringey,2014-07-01,65
E09000015,Harrow,2014-07-01,47
E09000016,Havering,2014-07-01,27
E09000017,Hillingdon,2014-07-01,48
E09000018,Hounslow,2014-07-01,37
E09000019,Islington,2014-07-01,52
E09000020,Kensington and Chelsea,2014-07-01,108
E09000021,Kingston upon Thames,2014-07-01,27
E09000022,Lambeth,2014-07-01,39
E09000023,Lewisham,2014-07-01,23
E09000024,Merton,2014-07-01,28
E09000025,Newham,2014-07-01,7
E09000026,Redbridge,2014-07-01,31
E09000027,Richmond upon Thames,2014-07-01,54
E09000028,Southwark,2014-07-01,46
E09000029,Sutton,2014-07-01,31
E09000030,Tower Hamlets,2014-07-01,16
E09000031,Waltham Forest,2014-07-01,18
E09000032,Wandsworth,2014-07-01,76
E09000033,Westminster,2014-07-01,169
E09000002,Barking and Dagenham,2014-10-01,12
E09000003,Barnet,2014-10-01,215
E09000004,Bexley,2014-10-01,20
E09000005,Brent,2014-10-01,85
E09000006,Bromley,2014-10-01,87
E09000007,Camden,2014-10-01,190
E09000001,City of London,2014-10-01,6
E09000008,Croydon,2014-10-01,41
E09000009,Ealing,2014-10-01,76
E09000010,Enfield,2014-10-01,48
E09000011,Greenwich,2014-10-01,26
E09000012,Hackney,2014-10-01,26
E09000013,Hammersmith and Fulham,2014-10-01,55
E09000014,Haringey,2014-10-01,66
E09000015,Harrow,2014-10-01,53
E09000016,Havering,2014-10-01,35
E09000017,Hillingdon,2014-10-01,56
E09000018,Hounslow,2014-10-01,50
E09000019,Islington,2014-10-01,56
E09000020,Kensington and Chelsea,2014-10-01,140
E09000021,Kingston upon Thames,2014-10-01,32
E09000022,Lambeth,2014-10-01,41
E09000023,Lewisham,2014-10-01,28
E09000024,Merton,2014-10-01,35
E09000025,Newham,2014-10-01,6
E09000026,Redbridge,2014-10-01,41
E09000027,Richmond upon Thames,2014-10-01,60
E09000028,Southwark,2014-10-01,43
E09000029,Sutton,2014-10-01,35
E09000030,Tower Hamlets,2014-10-01,16
E09000031,Waltham Forest,2014-10-01,21
E09000032,Wandsworth,2014-10-01,87
E09000033,Westminster,2014-10-01,200
E09000002,Barking and Dagenham,2015-01-01,15
E09000003,Barnet,2015-01-01,247
E09000004,Bexley,2015-01-01,29
E09000005,Brent,2015-01-01,96
E09000006,Bromley,2015-01-01,101
E09000007,Camden,2015-01-01,211
E09000001,City of London,2015-01-01,6
E09000008,Croydon,2015-01-01,54
E09000009,Ealing,2015-01-01,87
E09000010,Enfield,2015-01-01,68
E09000011,Greenwich,2015-01-01,31
E09000012,Hackney,2015-01-01,29
E09000013,Hammersmith and Fulham,2015-01-01,61
E09000014,Haringey,2015-01-01,68
E09000015,Harrow,2015-01-01,58
E09000016,Havering,2015-01-01,45
E09000017,Hillingdon,2015-01-01,63
E09000018,Hounslow,2015-01-01,65
E09000019,Islington,2015-01-01,62
E09000020,Kensington and Chelsea,2015-01-01,160
E09000021,Kingston upon Thames,2015-01-01,39
E09000022,Lambeth,2015-01-01,44
E09000023,Lewisham,2015-01-01,33
E09000024,Merton,2015-01-01,40
E09000025,Newham,2015-01-01,6
E09000026,Redbridge,2015-01-01,53
E09000027,Richmond upon Thames,2015-01-01,67
E09000028,Southwark,2015-01-01,49
E09000029,Sutton,2015-01-01,41
E09000030,Tower Hamlets,2015-01-01,23
E09000031,Waltham Forest,2015-01-01,20
E09000032,Wandsworth,2015-01-01,93
E09000033,Westminster,2015-01-01,233
E09000002,Barking and Dagenham,2015-04-01,20
E09000003,Barnet,2015-04-01,280
E09000004,Bexley,2015-04-01,32
E09000005,Brent,2015-04-01,102
E09000006,Bromley,2015-04-01,119
E09000007,Camden,2015-04-01,226
E09000001,City of London,2015-04-01,6
E09000008,Croydon,2015-04-01,59
E09000009,Ealing,2015-04-01,97
E09000010,Enfield,2015-04-01,78
E09000011,Greenwich,2015-04-01,39
E09000012,Hackney,2015-04-01,34
E09000013,Hammersmith and Fulham,2015-04-01,71
E09000014,Haringey,2015-04-01,81
E09000015,Harrow,2015-04-01,73
E09000016,Havering,2015-04-01,57
E09000017,Hillingdon,2015-04-01,76
E09000018,Hounslow,2015-04-01,84
E09000019,Islington,2015-04-01,68
E09000020,Kensington and Chelsea,2015-04-01,180
E09000021,Kingston upon Thames,2015-04-01,44
E09000022,Lambeth,2015-04-01,52
E09000023,Lewisham,2015-04-01,40
E09000024,Merton,2015-04-01,45
E09000025,Newham,2015-04-01,18
E09000026,Redbridge,2015-04-01,70
E09000027,Richmond upon Thames,2015-04-01,81
E09000028,Southwark,2015-04-01,61
E09000029,Sutton,2015-04-01,43
E09000030,Tower Hamlets,2015-04-01,28
E09000031,Waltham Forest,2015-04-01,23
E09000032,Wandsworth,2015-04-01,109
E09000033,Westminster,2015-04-01,249
E09000002,Barking and Dagenham,2015-07-01,22
E09000003,Barnet,2015-07-01,314
E09000004,Bexley,2015-07-01,41
E09000005,Brent,2015-07-01,112
E09000006,Bromley,2015-07-01,136
E09000007,Camden,2015-07-01,254
E09000001,City of London,2015-07-01,7
E09000008,Croydon,2015-07-01,71
E09000009,Ealing,2015-07-01,108
E09000010,Enfield,2015-07-01,81
E09000011,Greenwich,2015-07-01,53
E09000012,Hackney,2015-07-01,39
E09000013,Hammersmith and Fulham,2015-07-01,77
E09000014,Haringey,2015-07-01,94
E09000015,Harrow,2015-07-01,85
E09000016,Havering,2015-07-01,59
E09000017,Hillingdon,2015-07-01,107
E09000018,Hounslow,2015-07-01,86
E09000019,Islington,2015-07-01,76
E09000020,Kensington and Chelsea,2015-07-01,198
E09000021,Kingston upon Thames,2015-07-01,61
E09000022,Lambeth,2015-07-01,59
E09000023,Lewisham,2015-07-01,43
E09000024,Merton,2015-07-01,60
E09000025,Newham,2015-07-01,25
E09000026,Redbridge,2015-07-01,75
E09000027,Richmond upon Thames,2015-07-01,104
E09000028,Southwark,2015-07-01,77
E09000029,Sutton,2015-07-01,47
E09000030,Tower Hamlets,2015-07-01,33
E09000031,Waltham Forest,2015-07-01,33
E09000032,Wandsworth,2015-07-01,129
E09000033,Westminster,2015-07-01,269
E09000002,Barking and Dagenham,2015-10-01,26
E09000003,Barnet,2015-10-01,389
E09000004,Bexley,2015-10-01,44
E09000005,Brent,2015-10-01,130
E09000006,Bromley,2015-10-01,155
E09000007,Camden,2015-10-01,284
E09000001,City of London,2015-10-01,8
E09000008,Croydon,2015-10-01,87
E09000009,Ealing,2015-10-01,133
E09000010,Enfield,2015-10-01,98
E09000011,Greenwich,2015-10-01,55
E09000012,Hackney,2015-10-01,52
E09000013,Hammersmith and Fulham,2015-10-01,84
E09000014,Haringey,2015-10-01,107
E09000015,Harrow,2015-10-01,98
E09000016,Havering,2015-10-01,62
E09000017,Hillingdon,2015-10-01,118
E09000018,Hounslow,2015-10-01,96
E09000019,Islington,2015-10-01,82
E09000020,Kensington and Chelsea,2015-10-01,232
E09000021,Kingston upon Thames,2015-10-01,75
