ons_la_code_apr_2019,borough,quarter,count
E09000010,Enfield,2014-10-01,12
E09000011,Greenwich,2014-10-01,7
E09000012,Hackney,2014-10-01,0
E09000013,Hammersmith and Fulham,2014-10-01,9
E09000014,Haringey,2014-10-01,14
E09000015,Harrow,2014-10-01,14
E09000016,Havering,2014-10-01,7
E09000017,Hillingdon,2014-10-01,12
E09000018,Hounslow,2014-10-01,10
E09000019,Islington,2014-10-01,13
E09000020,Kensington and Chelsea,2014-10-01,27
E09000021,Kingston upon Thames,2014-10-01,6
E09000022,Lambeth,2014-10-01,9
E09000023,Lewisham,2014-10-01,5
E09000024,Merton,2014-10-01,6
E09000025,Newham,2014-10-01,0
E09000026,Redbridge,2014-10-01,9
E09000027,Richmond upon Thames,2014-10-01,9
E09000028,Southwark,2014-10-01,9
E09000029,Sutton,2014-10-01,8
E09000030,Tower Hamlets,2014-10-01,0
E09000031,Waltham Forest,2014-10-01,0
E09000032,Wandsworth,2014-10-01,19
E09000033,Westminster,2014-10-01,32
E09000002,Barking and Dagenham,2015-01-01,0
E09000003,Barnet,2015-01-01,45
E09000004,Bexley,2015-01-01,0
E09000005,Brent,2015-01-01,20
E09000006,Bromley,2015-01-01,26
E09000007,Camden,2015-01-01,31
E09000001,City of London,2015-01-01,0
E09000008,Croydon,2015-01-01,15
E09000009,Ealing,2015-01-01,16
E09000010,Enfield,2015-01-01,20
E09000011,Greenwich,2015-01-01,9
E09000012,Hackney,2015-01-01,0
E09000013,Hammersmith and Fulham,2015-01-01,12
E09000014,Haringey,2015-01-01,15
E09000015,Harrow,2015-01-01,16
E09000016,Havering,2015-01-01,10
E09000017,Hillingdon,2015-01-01,14
E09000018,Hounslow,2015-01-01,19
E09000019,Islington,2015-01-01,18
E09000020,Kensington and Chelsea,2015-01-01,32
E09000021,Kingston upon Thames,2015-01-01,8
E09000022,Lambeth,2015-01-01,9
E09000023,Lewisham,2015-01-01,6
E09000024,Merton,2015-01-01,8
E09000025,Newham,2015-01-01,0
E09000026,Redbridge,2015-01-01,11
E09000027,Richmond upon Thames,2015-01-01,17
E09000028,Southwark,2015-01-01,11
E09000029,Sutton,2015-01-01,10
E09000030,Tower Hamlets,2015-01-01,0
E09000031,Waltham Forest,2015-01-01,0
E09000032,Wandsworth,2015-01-01,19
E09000033,Westminster,2015-01-01,44
E09000002,Barking and Dagenham,2015-04-01,0
E09000003,Barnet,2015-04-01,64
E09000004,Bexley,2015-04-01,0
E09000005,Brent,2015-04-01,25
E09000006,Bromley,2015-04-01,32
E09000007,Camden,2015-04-01,35
E09000001,City of London,2015-04-01,0
E09000008,Croydon,2015-04-01,18
E09000009,Ealing,2015-04-01,18
E09000010,Enfield,2015-04-01,22
E09000011,Greenwich,2015-04-01,11
E09000012,Hackney,2015-04-01,6
E09000013,Hammersmith and Fulham,2015-04-01,17
E09000014,Haringey,2015-04-01,17
E09000015,Harrow,2015-04-01,20
E09000016,Havering,2015-04-01,14
E09000017,Hillingdon,2015-04-01,22
E09000018,Hounslow,2015-04-01,23
E09000019,Islington,2015-04-01,22
E09000020,Kensington and Chelsea,2015-04-01,41
E09000021,Kingston upon Thames,2015-04-01,9
E09000022,Lambeth,2015-04-01,11
E09000023,Lewisham,2015-04-01,9
E09000024,Merton,2015-04-01,12
E09000025,Newham,2015-04-01,6
E09000026,Redbridge,2015-04-01,13
E09000027,Richmond upon Thames,2015-04-01,25
E09000028,Southwark,2015-04-01,15
E09000029,Sutton,2015-04-01,10
E09000030,Tower Hamlets,2015-04-01,5
E09000031,Waltham Forest,2015-04-01,0
E09000032,Wandsworth,2015-04-01,30
E09000033,Westminster,2015-04-01,53
E09000002,Barking and Dagenham,2015-07-01,5
E09000003,Barnet,2015-07-01,73
E09000004,Bexley,2015-07-01,7
E09000005,Brent,2015-07-01,33
E09000006,Bromley,2015-07-01,43
E09000007,Camden,2015-07-01,48
E09000001,City of London,2015-07-01,0
E09000008,Croydon,2015-07-01,25
E09000009,Ealing,2015-07-01,24
E09000010,Enfield,2015-07-01,23
E09000011,Greenwich,2015-07-01,14
E09000012,Hackney,2015-07-01,7
E09000013,Hammersmith and Fulham,2015-07-01,19
E09000014,Haringey,2015-07-01,28
E09000015,Harrow,2015-07-01,23
E09000016,Havering,2015-07-01,14
E09000017,Hillingdon,2015-07-01,26
E09000018,Hounslow,2015-07-01,27
E09000019,Islington,2015-07-01,25
E09000020,Kensington and Chelsea,2015-07-01,52
E09000021,Kingston upon Thames,2015-07-01,19
E09000022,Lambeth,2015-07-01,16
E09000023,Lewisham,2015-07-01,11
E09000024,Merton,2015-07-01,21
E09000025,Newham,2015-07-01,8
E09000026,Redbridge,2015-07-01,14
E09000027,Richmond upon Thames,2015-07-01,36
E09000028,Southwark,2015-07-01,20
E09000029,Sutton,2015-07-01,15
E09000030,Tower Hamlets,2015-07-01,8
E09000031,Waltham Forest,2015-07-01,9
E09000032,Wandsworth,2015-07-01,44
E09000033,Westminster,2015-07-01,64
E09000002,Barking and Dagenham,2015-10-01,9
E09000003,Barnet,2015-10-01,92
E09000004,Bexley,2015-10-01,8
E09000005,Brent,2015-10-01,35
E09000006,Bromley,2015-10-01,49
E09000007,Camden,2015-10-01,58
E09000001,City of London,2015-10-01,0
E09000008,Croydon,2015-10-01,30
E09000009,Ealing,2015-10-01,34
E09000010,Enfield,2015-10-01,28
E09000011,Greenwich,2015-10-01,15
E09000012,Hackney,2015-10-01,14
E09000013,Hammersmith and Fulham,2015-10-01,23
E09000014,Haringey,2015-10-01,35
E09000015,Harrow,2015-10-01,27
E09000016,Havering,2015-10-01,16
E09000017,Hillingdon,2015-10-01,29
E09000018,Hounslow,2015-10-01,32
E09000019,Islington,2015-10-01,26
E09000020,Kensington and Chelsea,2015-10-01,59
E09000021,Kingston upon Thames,2015-10-01,27
E09000022,Lambeth,2015-10-01,17
E09000023,Lewisham,2015-10-01,15
E09000024,Merton,2015-10-01,22
E09000025,Newham,2015-10-01,10
E09000026,Redbridge,2015-10-01,20
E09000027,Richmond upon Thames,2015-10-01,43
E09000028,Southwark,2015-10-01,25
E09000029,Sutton,2015-10-01,22
E09000030,Tower Hamlets,2015-10-01,11
E09000031,Waltham Forest,2015-10-01,11
E09000032,Wandsworth,2015-10-01,52
E09000033,Westminster,2015-10-01,72
E09000002,Barking and Dagenham,2016-01-01,11
E09000003,Barnet,2016-01-01,111
